substance,indicator,age_group,percentage,sample_count,total_surveyed
Cannabis,ASSIST risk level,55+,12.76,1668,12210.0
Cannabis,ASSIST risk level,55+,6.38,884,12210.0
Cannabis,Dried flower/leaf use,15-19,73.26,786,1094.0
Cannabis,Dried flower/leaf use,20-24,74.93,1721,2291.0
Cannabis,Dried flower/leaf use,25-54,63.58,3835,6312.0
Cannabis,Dried flower/leaf use,55+,40.94,1056,2520.0
Cannabis,Hashish/kief use,15-19,30.1,314,1094.0
Cannabis,Hashish/kief use,20-24,20.06,453,2291.0
Cannabis,Hashish/kief use,25-54,13.17,820,6312.0
Cannabis,Hashish/kief use,55+,9.77,250,2521.0
Cannabis,Cannabis oil for oral use,15-19,13.5,158,1094.0
Cannabis,Cannabis oil for oral use,20-24,21.02,486,2291.0
Cannabis,Cannabis oil for oral use,25-54,23.99,1562,6312.0
Cannabis,Cannabis oil for oral use,55+,34.18,833,2521.0
Cannabis,Vape pens/cartridges use,15-19,73.89,795,1094.0
Cannabis,Vape pens/cartridges use,20-24,57.32,1292,2291.0
Cannabis,Vape pens/cartridges use,25-54,37.22,2368,6312.0
Cannabis,Vape pens/cartridges use,55+,17.09,464,2521.0
Cannabis,Concentrate/extracts use,15-19,15.67,180,1094.0
Cannabis,Concentrate/extracts use,20-24,14.5,335,2291.0
Cannabis,Concentrate/extracts use,25-54,10.06,634,6312.0
Cannabis,Concentrate/extracts use,55+,3.75,118,2521.0
Cannabis,Cannabis edible food product use,15-19,57.01,621,1094.0
Cannabis,Cannabis edible food product use,20-24,64.19,1431,2291.0
Cannabis,Cannabis edible food product use,25-54,61.54,3972,6312.0
Cannabis,Cannabis edible food product use,55+,48.23,1297,2521.0
Cannabis,Cannabis beverages use,15-19,14.22,160,1094.0
Cannabis,Cannabis beverages use,20-24,26.13,560,2291.0
Cannabis,Cannabis beverages use,25-54,23.33,1357,6312.0
Cannabis,Cannabis beverages use,55+,7.79,185,2521.0
Cannabis,Topicals use,15-19,7.81,85,1094.0
Cannabis,Topicals use,20-24,7.86,171,2291.0
Cannabis,Topicals use,25-54,10.77,733,6312.0
Cannabis,Topicals use,55+,16.53,391,2521.0
Cannabis,Cannabis consumption by smoking it,15-19,36.33,912,2492.0
Cannabis,Cannabis consumption by smoking it,20-24,42.13,1865,4446.0
Cannabis,Cannabis consumption by smoking it,25-54,25.64,4041,16740.0
Cannabis,Cannabis consumption by smoking it,55+,8.15,1112,12185.0
Cannabis,Cannabis consumption by eating it,15-19,23.99,614,2492.0
Cannabis,Cannabis consumption by eating it,20-24,32.91,1412,4446.0
Cannabis,Cannabis consumption by eating it,25-54,22.66,3807,16740.0
Cannabis,Cannabis consumption by eating it,55+,8.48,1206,12185.0
Cannabis,Cannabis consumption by drinking it,15-19,5.79,160,2492.0
Cannabis,Cannabis consumption by drinking it,20-24,12.9,530,4446.0
Cannabis,Cannabis consumption by drinking it,25-54,8.53,1297,16740.0
Cannabis,Cannabis consumption by drinking it,55+,1.38,173,12185.0
Cannabis,Cannabis consumption by vaping it,15-19,30.46,758,2492.0
Cannabis,Cannabis consumption by vaping it,20-24,29.56,1281,4446.0
Cannabis,Cannabis consumption by vaping it,25-54,14.67,2435,16740.0
Cannabis,Cannabis consumption by vaping it,55+,3.31,493,12185.0
Cannabis,Cannabis consumption by using oral oil,15-19,4.49,123,2492.0
Cannabis,Cannabis consumption by using oral oil,20-24,8.92,398,4446.0
Cannabis,Cannabis consumption by using oral oil,25-54,7.75,1327,16740.0
Cannabis,Cannabis consumption by using oral oil,55+,6.03,778,12185.0
Cannabis,Cannabis consumption by dabbing it,15-19,4.24,125,2492.0
Cannabis,Cannabis consumption by dabbing it,20-24,4.45,198,4446.0
Cannabis,Cannabis consumption by dabbing it,25-54,1.71,299,16740.0
Cannabis,Cannabis consumption by dabbing it,55+,0.19,31,12185.0
Cannabis,Cannabis consumption by skin application,15-19,2.38,65,2492.0
Cannabis,Cannabis consumption by skin application,20-24,3.47,143,4446.0
Cannabis,Cannabis consumption by skin application,25-54,3.61,647,16740.0
Cannabis,Cannabis consumption by skin application,55+,2.69,337,12185.0
Cannabis,Cannabis source,15-19,2.81,23,1052.0
Cannabis,Cannabis source,15-19,0.91,11,1052.0
Cannabis,Cannabis source,15-19,31.97,406,1052.0
Cannabis,Cannabis source,15-19,3.54,39,1052.0
Cannabis,Cannabis source,15-19,4.13,47,1052.0
Cannabis,Cannabis source,15-19,2.07,17,1052.0
Cannabis,Cannabis source,15-19,0.76,9,1052.0
Cannabis,Cannabis source,15-19,14.6,142,1052.0
Cannabis,Cannabis source,15-19,8.25,71,1052.0
Cannabis,Cannabis source,15-19,22.93,225,1052.0
Cannabis,Cannabis source,15-19,1.99,17,1052.0
Cannabis,Cannabis source,15-19,5.9,43,1052.0
Cannabis,Cannabis source,15-19,0.16,2,1052.0
Cannabis,Cannabis source,20-24,2.49,52,2288.0
Cannabis,Cannabis source,20-24,0.51,13,2288.0
Cannabis,Cannabis source,20-24,72.6,1652,2288.0
Cannabis,Cannabis source,20-24,3.07,71,2288.0
Cannabis,Cannabis source,20-24,2.82,66,2288.0
Cannabis,Cannabis source,20-24,0.46,10,2288.0
Cannabis,Cannabis source,20-24,1.36,33,2288.0
Cannabis,Cannabis source,20-24,5.01,122,2288.0
Cannabis,Cannabis source,20-24,1.53,33,2288.0
Cannabis,Cannabis source,20-24,8.99,207,2288.0
Cannabis,Cannabis source,20-24,0.27,8,2288.0
Cannabis,Cannabis source,20-24,0.71,16,2288.0
Cannabis,Cannabis source,20-24,0.18,5,2288.0
Cannabis,Cannabis source,25-54,4.04,254,6291.0
Cannabis,Cannabis source,25-54,0.38,29,6291.0
Cannabis,Cannabis source,25-54,70.86,4450,6291.0
Cannabis,Cannabis source,25-54,6.49,439,6291.0
Cannabis,Cannabis source,25-54,2.12,158,6291.0
Cannabis,Cannabis source,25-54,0.54,28,6291.0
Cannabis,Cannabis source,25-54,0.98,66,6291.0
Cannabis,Cannabis source,25-54,4.12,225,6291.0
Cannabis,Cannabis source,25-54,2.27,158,6291.0
Cannabis,Cannabis source,25-54,6.93,405,6291.0
Cannabis,Cannabis source,25-54,0.51,31,6291.0
Cannabis,Cannabis source,25-54,0.52,31,6291.0
Cannabis,Cannabis source,25-54,0.24,17,6291.0
Cannabis,Cannabis source,55+,7.67,176,2505.0
Cannabis,Cannabis source,55+,1.14,22,2505.0
Cannabis,Cannabis source,55+,59.67,1538,2505.0
Cannabis,Cannabis source,55+,10.12,257,2505.0
Cannabis,Cannabis source,55+,4.2,70,2505.0
Cannabis,Cannabis source,55+,0.63,15,2505.0
Cannabis,Cannabis source,55+,0.66,22,2505.0
Cannabis,Cannabis source,55+,3.2,77,2505.0
Cannabis,Cannabis source,55+,4.5,96,2505.0
Cannabis,Cannabis source,55+,6.66,183,2505.0
Cannabis,Cannabis source,55+,0.57,22,2505.0
Cannabis,Cannabis source,55+,0.41,14,2505.0
Cannabis,Cannabis source,55+,0.57,13,2505.0
Cannabis,"Past 12 month cannabis use, by purpose",15-19,36.22,924,2506.0
Cannabis,"Past 12 month cannabis use, by purpose",15-19,1.7,50,2506.0
Cannabis,"Past 12 month cannabis use, by purpose",15-19,5.4,141,2506.0
Cannabis,"Past 12 month cannabis use, by purpose",20-24,40.87,1829,4464.0
Cannabis,"Past 12 month cannabis use, by purpose",20-24,1.77,72,4464.0
Cannabis,"Past 12 month cannabis use, by purpose",20-24,9.78,419,4464.0
Cannabis,"Past 12 month cannabis use, by purpose",25-54,27.47,4357,16787.0
Cannabis,"Past 12 month cannabis use, by purpose",25-54,3.48,679,16787.0
Cannabis,"Past 12 month cannabis use, by purpose",25-54,7.51,1333,16787.0
Cannabis,"Past 12 month cannabis use, by purpose",55+,8.88,1250,12215.0
Cannabis,"Past 12 month cannabis use, by purpose",55+,6.36,787,12215.0
Cannabis,"Past 12 month cannabis use, by purpose",55+,3.81,506,12215.0
Cannabis,Medical cannabis use - documentation,15-19,2.04,6,177.0
Cannabis,Medical cannabis use - documentation,15-19,97.96,171,177.0
Cannabis,Medical cannabis use - documentation,20-24,7.25,35,472.0
Cannabis,Medical cannabis use - documentation,20-24,92.75,437,472.0
Cannabis,Medical cannabis use - documentation,25-54,14.75,300,1893.0
Cannabis,Medical cannabis use - documentation,25-54,85.25,1593,1893.0
Cannabis,Medical cannabis use - documentation,55+,21.44,267,1199.0
Cannabis,Medical cannabis use - documentation,55+,78.56,932,1199.0
Cannabis,Medical cannabis use for problems sleeping or insomnia,15-19,57.4,104,182.0
Cannabis,Medical cannabis use for problems sleeping or insomnia,20-24,53.87,260,466.0
Cannabis,Medical cannabis use for problems sleeping or insomnia,25-54,50.38,987,1946.0
Cannabis,Medical cannabis use for problems sleeping or insomnia,55+,46.04,572,1261.0
Cannabis,Medical cannabis use for anxiety,15-19,78.08,136,182.0
Cannabis,Medical cannabis use for anxiety,20-24,68.15,321,466.0
Cannabis,Medical cannabis use for anxiety,25-54,48.69,897,1946.0
Cannabis,Medical cannabis use for anxiety,55+,16.81,228,1261.0
Cannabis,Medical cannabis use for depression,15-19,56.88,104,182.0
Cannabis,Medical cannabis use for depression,20-24,54.23,257,466.0
Cannabis,Medical cannabis use for depression,25-54,31.34,578,1946.0
Cannabis,Medical cannabis use for depression,55+,9.69,149,1261.0
Cannabis,Medical cannabis use for arthritis,15-19,6.93,13,182.0
Cannabis,Medical cannabis use for arthritis,20-24,4.98,25,466.0
Cannabis,Medical cannabis use for arthritis,25-54,13.95,286,1946.0
Cannabis,Medical cannabis use for arthritis,55+,34.46,444,1261.0
Cannabis,Medical cannabis use for headaches or migraines,15-19,40.55,64,182.0
Cannabis,Medical cannabis use for headaches or migraines,20-24,30.17,147,466.0
Cannabis,Medical cannabis use for headaches or migraines,25-54,21.95,421,1946.0
Cannabis,Medical cannabis use for headaches or migraines,55+,7.06,100,1261.0
Cannabis,Medical cannabis use for acute pain,15-19,18.52,36,182.0
Cannabis,Medical cannabis use for acute pain,20-24,23.13,111,466.0
Cannabis,Medical cannabis use for acute pain,25-54,21.18,407,1946.0
Cannabis,Medical cannabis use for acute pain,55+,15.96,199,1261.0
Cannabis,Medical cannabis use for chronic pain,15-19,24.08,44,182.0
Cannabis,Medical cannabis use for chronic pain,20-24,29.85,145,466.0
Cannabis,Medical cannabis use for chronic pain,25-54,32.55,661,1946.0
Cannabis,Medical cannabis use for chronic pain,55+,34.65,429,1261.0
Cannabis,Medical cannabis use for post-traumatic stress disorder (PTSD),15-19,36.22,57,182.0
Cannabis,Medical cannabis use for post-traumatic stress disorder (PTSD),20-24,25.96,125,466.0
Cannabis,Medical cannabis use for post-traumatic stress disorder (PTSD),25-54,17.2,344,1946.0
Cannabis,Medical cannabis use for post-traumatic stress disorder (PTSD),55+,6.08,102,1261.0
Cannabis,Medical cannabis use for gastrointestinal illnesses,15-19,16.33,25,182.0
Cannabis,Medical cannabis use for gastrointestinal illnesses,20-24,15.62,72,466.0
Cannabis,Medical cannabis use for gastrointestinal illnesses,25-54,13.68,268,1946.0
Cannabis,Medical cannabis use for gastrointestinal illnesses,55+,5.75,78,1261.0
Cannabis,Medical cannabis use for ADHD/ADD,15-19,49.67,89,182.0
Cannabis,Medical cannabis use for ADHD/ADD,20-24,36.73,179,466.0
Cannabis,Medical cannabis use for ADHD/ADD,25-54,15.43,292,1946.0
Cannabis,Medical cannabis use for ADHD/ADD,55+,1.14,24,1261.0
Cannabis,Medical cannabis use for muscle spasms,15-19,4.51,12,182.0
Cannabis,Medical cannabis use for muscle spasms,20-24,5.5,29,466.0
Cannabis,Medical cannabis use for muscle spasms,25-54,10.37,216,1946.0
Cannabis,Medical cannabis use for muscle spasms,55+,12.55,147,1261.0
